# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = bernoulli_makeodds_model
# start_datetime = 2023-01-28 02:21:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 4250400657 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,odds
# Adaptation terminated
# Step size = 0.846965
# Diagonal elements of inverse mass matrix:
# 0.441808
-7.30609,0.943409,0.846965,2,3,0,7.35486,0.394552,0.651668
-7.20894,1,0.846965,3,7,0,7.35779,0.380583,0.61442
-7.06104,0.946121,0.846965,2,3,0,7.77368,0.35637,0.553687
-7.01227,0.959084,0.846965,2,3,0,7.50457,0.347268,0.532022
-8.05864,0.7947,0.846965,2,3,0,8.92399,0.477399,0.913506
-6.75098,1,0.846965,2,3,0,7.99495,0.259701,0.350805
-6.75277,0.99808,0.846965,2,7,0,6.76657,0.23795,0.312249
-7.11329,0.928594,0.846965,1,3,0,7.31131,0.154482,0.182707
-6.91348,0.99489,0.846965,2,3,0,7.21345,0.183069,0.224094
-6.8121,0.997192,0.846965,2,3,0,6.95883,0.207128,0.261238
-6.99317,0.940649,0.846965,1,3,0,7.41449,0.343495,0.523217
-6.92945,1,0.846965,2,3,0,7.00106,0.329806,0.492106
-7.0231,0.993423,0.846965,2,3,0,7.03943,0.349351,0.536926
-6.85774,1,0.846965,1,1,0,6.9891,0.311358,0.452134
-6.76361,0.983101,0.846965,1,3,0,6.99456,0.228375,0.295966
-7.61221,0.93154,0.846965,2,3,0,7.63301,0.432394,0.761787
-8.0007,0.966349,0.846965,3,7,0,8.11722,0.0931472,0.102715
-6.85521,0.958541,0.846965,1,3,0,8.321,0.195304,0.242706
-7.02848,0.93232,0.846965,1,3,0,7.61098,0.350373,0.539344
-6.79841,0.990676,0.846965,2,3,0,7.11487,0.291008,0.410452
-7.39725,0.784301,0.846965,1,3,0,8.39399,0.1282,0.147052
-7.28582,1,0.846965,2,3,0,7.42168,0.137312,0.159167
-7.50911,0.976239,0.846965,1,1,0,7.52296,0.120148,0.136554
-6.74805,0.969853,0.846965,1,3,0,7.99567,0.249087,0.331711
-7.22912,0.887991,0.846965,1,3,0,7.60318,0.142474,0.166146
-6.86361,0.991749,0.846965,3,7,0,7.26083,0.193337,0.239675
-6.753,0.984282,0.846965,2,3,0,7.03487,0.237664,0.311758
-6.83864,0.985895,0.846965,1,3,0,6.8645,0.199461,0.249158
-6.97193,0.943079,0.846965,1,3,0,7.45443,0.339138,0.513174
-6.78927,0.992878,0.846965,2,3,0,7.03895,0.286995,0.402516
-7.86886,0.673977,0.846965,1,3,0,9.47144,0.0993603,0.110322
-8.17024,0.980775,0.846965,3,7,0,8.2069,0.0859722,0.0940587
-7.97929,1,0.846965,1,1,0,8.22653,0.0941157,0.103894
-7.94867,1,0.846965,2,3,0,8.10046,0.0955268,0.105616
-7.4626,1,0.846965,1,1,0,7.90228,0.123379,0.140744
-6.77023,0.942449,0.846965,1,3,0,8.19374,0.276942,0.383016
-6.82441,0.971719,0.846965,1,3,0,6.98288,0.203388,0.255316
-8.77779,0.684979,0.846965,1,3,0,10.1667,0.0657498,0.0703771
-8.16197,1,0.846965,1,1,0,8.74045,0.0863033,0.094455
-7.69977,1,0.846965,1,1,0,8.1281,0.108323,0.121482
-6.8716,0.990082,0.846965,3,7,0,7.64344,0.191539,0.236918
-6.81154,1,0.846965,1,1,0,6.86265,0.207307,0.261522
-6.78092,0.983172,0.846965,2,7,0,6.97271,0.282938,0.394579
-7.31158,0.929564,0.846965,2,3,0,7.47337,0.395305,0.653727
-6.87147,1,0.846965,2,7,0,7.26271,0.191567,0.23696
-6.93403,0.953249,0.846965,1,3,0,7.46804,0.330858,0.494452
-6.7948,1,0.846965,3,7,0,6.90775,0.289469,0.407398
-6.97366,0.969738,0.846965,2,3,0,7.08472,0.339498,0.514001
-6.83608,1,0.846965,1,1,0,6.94555,0.304731,0.438292
-6.79945,1,0.846965,2,3,0,6.83141,0.291442,0.411317
-6.90514,0.937406,0.846965,1,3,0,7.25737,0.184647,0.226462
-6.74996,0.9918,0.846965,1,3,0,7.01908,0.257834,0.347407
-6.83692,0.977675,0.846965,1,3,0,6.92353,0.199918,0.249871
-7.58648,0.849881,0.846965,1,3,0,8.50146,0.429489,0.752813
-7.58648,0.666223,0.846965,1,1,0,8.90287,0.429489,0.752813
-7.08707,0.946588,0.846965,3,7,0,8.13583,0.157543,0.187004
-6.75264,0.980004,0.846965,1,3,0,7.35648,0.262141,0.355273
-6.7511,0.998438,0.846965,1,3,0,6.76619,0.24028,0.316275
-6.8749,0.961014,0.846965,2,3,0,7.06455,0.190816,0.235812
-6.918,0.993787,0.846965,1,1,0,6.92625,0.182234,0.222844
-8.23245,0.877503,0.846965,2,3,0,8.27393,0.0835388,0.0911536
-6.74918,0.913011,0.846965,1,3,0,9.48615,0.256061,0.344196
-6.77246,0.993105,0.846965,1,3,0,6.79917,0.223069,0.287115
-6.78606,0.988289,0.846965,1,3,0,6.89517,0.285486,0.399554
-6.76759,0.771501,0.846965,2,3,0,8.89267,0.275254,0.379794
-6.74992,1,0.846965,2,7,0,6.76468,0.24235,0.31987
-6.74916,0.998422,0.846965,2,3,0,6.7637,0.244068,0.32287
-6.78699,0.993192,0.846965,1,3,0,6.80065,0.216232,0.275889
-6.81083,0.970099,0.846965,2,3,0,7.06983,0.207535,0.261885
-6.87612,0.99006,0.846965,1,1,0,6.87619,0.190551,0.235409
-6.86867,1,0.846965,1,1,0,6.89158,0.19219,0.237914
-6.81675,0.996462,0.846965,2,3,0,6.92646,0.205672,0.258925
-7.14015,0.968005,0.846965,2,3,0,7.19665,0.151492,0.178539
-6.94959,1,0.846965,1,1,0,7.11485,0.176737,0.214679
-6.83137,0.9585,0.846965,1,3,0,7.40943,0.303191,0.435114
-6.79325,1,0.846965,1,1,0,6.82546,0.288788,0.406051
-8.92831,0.400888,0.846965,1,3,0,12.3001,0.0617328,0.0657945
-9.18602,0.986513,0.846965,1,1,0,9.29069,0.0555448,0.0588115
-8.74206,1,0.846965,2,3,0,9.20928,0.0667522,0.0715268
-8.88651,0.991703,0.846965,1,1,0,9.02007,0.0628163,0.0670267
-8.52736,1,0.846965,1,1,0,8.92259,0.0732151,0.0789991
-7.81614,0.987561,0.846965,2,7,0,8.43763,0.454095,0.831821
-9.93496,0.606228,0.846965,1,1,0,9.93991,0.608764,1.556
-8.53255,1,0.846965,3,7,0,9.90477,0.0730495,0.0788063
-8.48508,1,0.846965,2,3,0,8.68504,0.0745846,0.0805958
-7.84101,1,0.846965,1,1,0,8.43429,0.100754,0.112042
-7.39984,1,0.846965,1,1,0,7.79761,0.128002,0.146792
-7.20169,1,0.846965,1,1,0,7.38925,0.145124,0.16976
-6.99105,0.979273,0.846965,3,7,0,7.52888,0.170264,0.205202
-6.75916,0.978944,0.846965,2,7,0,7.23257,0.268958,0.36791
-7.36203,0.91242,0.846965,2,7,0,7.51751,0.402085,0.672478
-7.22134,1,0.846965,1,1,0,7.39762,0.382436,0.619266
-6.75645,0.972027,0.846965,1,3,0,7.47775,0.234012,0.305504
-6.86168,0.972035,0.846965,1,3,0,6.98402,0.312495,0.454535
-9.15827,0.600732,0.846965,3,7,0,10.6695,0.561979,1.283
-9.7107,0.879804,0.846965,1,1,0,10.1343,0.596063,1.47564
-6.90246,0.94805,0.846965,2,3,0,10.166,0.323348,0.477865
-6.81367,0.964669,0.846965,3,7,0,7.16768,0.297004,0.422484
-6.85833,0.991074,0.846965,1,1,0,6.86202,0.311529,0.452494
-7.93325,0.694994,0.846965,3,7,0,9.57742,0.0962495,0.1065
-7.82029,0.995197,0.846965,3,7,0,7.92359,0.10181,0.113351
-6.89172,1,0.846965,2,3,0,7.75512,0.187289,0.23045
-6.75968,0.985701,0.846965,1,3,0,7.0557,0.269402,0.368741
-7.07912,0.913438,0.846965,2,7,0,7.47003,0.1585,0.188354
-7.31849,0.975787,0.846965,2,7,0,7.47555,0.39625,0.656315
-7.31849,0.900126,0.846965,1,1,0,7.70907,0.39625,0.656315
-7.32941,0.997517,0.846965,1,1,0,7.44848,0.397732,0.660391
-7.34583,0.996263,0.846965,1,1,0,7.46594,0.399937,0.666491
-7.63632,0.935154,0.846965,1,1,0,7.70416,0.43508,0.770163
-7.98994,0.920147,0.846965,1,1,0,8.10938,0.471032,0.890474
-7.22813,1,0.846965,1,1,0,7.8204,0.383443,0.621909
