# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = binomial_glm_model
# start_datetime = 2023-01-28 03:20:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = binGLM.Data.list.dump.R
# init = 2 (Default)
# random
#   seed = 4253945772 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11
# Adaptation terminated
# Step size = 0.179656
# Diagonal elements of inverse mass matrix:
# 0.0682771, 0.133627, 0.0883122, 0.0290179, 0.109453, 0.253552, 0.130899, 0.129822, 0.293526, 0.123081, 0.216768
-488.11,0.894065,0.179656,4,15,0,490.869,-1.35919,0.574841,2.21467,-1.23462,0.872341,2.98666,-0.400334,0.191838,-0.471108,-0.599373,-1.3358
-491.618,0.948846,0.179656,3,7,0,493.494,-1.31429,0.700352,2.25816,-1.1922,0.712012,2.79641,-0.48461,0.140157,-0.703536,-0.929984,-1.09275
-497.048,0.502421,0.179656,4,31,0,503.676,-1.09275,0.836745,2.14182,-1.20146,0.746974,2.61347,-0.652146,0.43905,-0.684859,-0.890199,-1.1222
-495.897,1,0.179656,3,7,0,499.645,-1.07915,0.769096,2.12865,-1.19612,0.719869,2.6338,-0.713381,0.42046,-0.81389,-0.994079,-1.16811
-492.746,0.99691,0.179656,4,15,0,499.39,-1.09533,0.913958,1.42471,-1.82481,1.07156,3.39914,-0.419891,-0.256915,-0.95106,0.350665,-0.650603
-489.41,0.995554,0.179656,4,15,0,495.132,-1.02856,0.917394,1.67108,-1.77393,0.69988,3.53266,-0.482057,-0.535275,-1.36698,0.29887,-0.759436
-493.088,0.615021,0.179656,4,31,0,499.919,-1.08023,1.0598,1.61578,-1.24095,1.15534,3.58405,-0.113722,-0.81195,-1.30996,-0.321458,-1.46512
-491.891,0.958898,0.179656,4,31,0,502.976,-2.10518,1.42002,2.66357,-1.7545,2.13262,4.31057,-0.834959,-1.05798,-1.66049,-1.05563,-1.37404
-486.606,0.732295,0.179656,5,31,0,497.505,-1.56951,1.0371,2.28671,-1.23912,1.33134,3.63788,-0.560614,-0.558316,-1.08126,-0.643909,-1.61992
-488.96,0.889833,0.179656,3,7,0,495.161,-1.66622,1.24622,2.13428,-1.31137,1.22766,3.52179,-0.542361,-0.398193,-0.803455,-0.908658,-1.71896
-489.087,0.966385,0.179656,3,7,0,491.338,-1.68761,1.29019,2.09696,-1.31656,1.23799,3.445,-0.445215,-0.446335,-0.827849,-0.849561,-1.64229
-491.99,0.792206,0.179656,3,15,0,496.552,-1.62426,1.20393,2.17586,-1.26704,1.29035,3.6415,-0.650184,-0.54085,-0.682261,-0.985282,-1.46653
-491.83,0.945032,0.179656,4,31,0,495.077,-1.27335,0.827558,1.84904,-1.65711,1.08642,3.70643,-0.510245,-0.520171,-0.860549,-0.519425,-0.804865
-487.834,0.993612,0.179656,4,31,0,496.066,-1.36085,0.819909,2.28357,-1.61246,1.19591,3.81302,-0.362867,-0.0555099,-0.70975,-0.911951,-1.8412
-488.414,0.994443,0.179656,4,15,0,491.158,-1.51132,0.545405,2.29144,-1.69237,1.43775,3.7035,-0.363718,-0.0560998,-0.954708,-1.0718,-1.62162
-485.774,1,0.179656,5,31,0,489.702,-1.47514,1.15116,2.03196,-1.44567,1.20843,4.28733,-0.410315,-0.662234,-1.87872,-0.558776,-1.80686
-486.012,0.941189,0.179656,5,31,0,491.483,-1.62661,1.20811,2.33299,-1.64847,1.12737,4.07629,-0.748739,-0.148496,-1.5061,-0.735923,-1.52508
-486.286,0.935708,0.179656,5,31,0,488.589,-1.44619,1.24296,1.92693,-1.47635,1.34258,3.61525,-0.272724,-0.813252,-1.79774,-0.634987,-1.29967
-492.171,0.712472,0.179656,4,15,0,495.466,-1.41207,1.19409,1.67593,-1.23752,1.24529,4.3918,-0.429313,-0.951732,-2.2381,0.136489,-1.4669
-490.725,0.829103,0.179656,4,31,0,499.556,-0.957893,0.761355,1.80932,-1.49884,0.546964,2.87663,-0.320229,0.172153,-1.21189,-0.303579,-0.352778
-491.594,0.968233,0.179656,5,31,0,497.087,-1.45226,1.32258,2.00841,-1.29934,0.929231,3.03972,-0.89481,-0.807318,-0.429223,-0.128756,-1.10606
-496.245,0.396591,0.179656,4,31,0,508.778,-1.63754,1.24924,2.53434,-1.38928,1.08588,3.94785,-1.6356,-0.463803,-1.8835,-0.443475,-0.326618
-489.49,1,0.179656,4,15,0,498.223,-1.47265,1.62375,1.95302,-1.6998,0.97648,3.73212,-0.551542,-0.63361,-1.55619,-0.387918,-1.00046
-489.062,0.92006,0.179656,4,31,0,495.355,-1.80063,1.08251,2.20912,-1.36689,1.52766,4.47092,-0.840333,-0.417725,-1.75473,-0.583862,-1.67426
-489.619,0.994549,0.179656,4,15,0,493.92,-1.59314,1.47978,2.34854,-1.45214,1.27147,3.49559,-0.977088,-0.584103,-1.8672,-0.974944,-0.406564
-488.037,0.638157,0.179656,4,15,0,495.361,-1.52959,1.1528,2.32319,-1.65038,1.0907,3.94109,-1.10263,-0.0978027,-1.2519,-0.171222,-1.26719
-487.919,1,0.179656,5,31,0,491.712,-1.7988,1.2397,2.07929,-1.52679,1.79461,3.89073,-0.29273,-0.947313,-1.33408,-0.692623,-1.36512
-489.29,0.918584,0.179656,4,15,0,496.901,-1.43946,0.906148,2.093,-1.59172,1.76003,4.4676,-0.0283879,-0.944255,-1.74,-0.903943,-2.37006
-491.542,0.615116,0.179656,5,31,0,500.719,-1.48257,0.613293,2.64961,-1.44939,1.1448,3.77201,-0.338978,0.283416,-0.909458,-1.49283,-1.88373
-488.809,0.912956,0.179656,5,31,0,496.673,-1.28772,1.61785,1.98636,-1.60863,1.11922,3.59483,-1.15857,-0.808852,-2.01734,-0.524253,-0.748851
-487.018,0.992242,0.179656,4,15,0,490.715,-1.30995,1.55924,1.9172,-1.55644,1.25862,3.72694,-1.04522,-0.739999,-1.93768,-0.402301,-0.798798
-489.804,0.937981,0.179656,4,15,0,494.981,-1.29309,1.6199,2.07993,-1.82588,1.43063,3.24468,-0.864271,-1.21044,-1.31205,-0.553289,-1.1717
-487.433,0.988308,0.179656,4,15,0,491.368,-1.36153,1.35184,2.06711,-1.8397,1.4661,3.41935,-0.730925,-0.795711,-1.219,-0.743197,-1.01738
-488.331,0.944969,0.179656,5,31,0,490.394,-1.44902,0.798303,2.00404,-1.14942,0.75687,3.71086,-0.456522,0.0956056,-1.16488,-0.335683,-1.26058
-494.316,0.929119,0.179656,5,31,0,498.35,-1.41303,1.14137,2.37123,-2.09756,1.44029,3.89192,-0.401263,-0.854054,-1.42689,-0.859862,-1.23466
-494.69,0.990268,0.179656,4,31,0,499.007,-1.34027,1.20045,1.83505,-2.02418,1.63725,3.8209,-0.411234,-0.272105,-1.27232,-1.10644,-1.59473
-492.124,0.996435,0.179656,4,15,0,497.199,-1.48801,0.749437,2.41313,-1.68137,1.7055,3.94032,-0.274375,-0.82949,-1.21224,-0.854978,-1.18886
