# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = binomial_glm_model
# start_datetime = 2023-01-28 03:22:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = binGLM.Data.list.dump.R
# init = 2 (Default)
# random
#   seed = 110710
# output
#   file = output_2.csv
#   diagnostic_file =  (Default)
#   refresh = 1000
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = --allow-undefined
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11
# Adaptation terminated
# Step size = 0.171351
# Diagonal elements of inverse mass matrix:
# 0.0680386, 0.126595, 0.0897504, 0.023853, 0.108287, 0.228541, 0.110284, 0.143506, 0.256485, 0.133517, 0.227386
-487.114,0.885454,0.171351,4,15,0,492.183,-1.63376,1.07061,2.06801,-1.43748,1.38488,3.73633,-0.401627,-0.582679,-1.53075,-0.853752,-1.11126
-488.164,0.981223,0.171351,4,19,0,491.402,-1.39927,1.19086,2.41733,-1.66768,1.12075,3.91945,-1.07105,-0.063534,-1.44315,-0.547995,-1.60514
-489.292,0.966567,0.171351,4,31,0,492.397,-1.36794,1.20857,2.36202,-1.67704,1.09668,3.82574,-1.10846,0.0147643,-1.42258,-0.482211,-1.56325
-486.504,0.98479,0.171351,5,31,0,491.752,-1.51336,1.24139,2.15259,-1.33357,1.15055,3.33861,-0.704739,-0.586556,-1.37794,-0.362399,-0.649796
-488.627,0.911762,0.171351,4,31,0,493.581,-1.3085,1.04528,2.00767,-1.72498,1.55465,3.94635,-0.678949,-0.243081,-1.6523,-0.778224,-1.1287
-487.247,0.979215,0.171351,5,31,0,491.006,-1.35788,1.08573,2.12689,-1.59742,1.38532,3.47247,-0.218721,-0.804612,-1.02329,-0.728946,-1.47894
-488.375,0.95339,0.171351,4,15,0,492.686,-1.39862,1.07262,2.19295,-1.63267,1.39048,3.49235,-0.230581,-0.792412,-1.01739,-0.654564,-1.32749
-489.508,0.934037,0.171351,5,31,0,495.838,-1.09159,0.285447,2.01532,-1.55633,0.712667,4.01224,-0.0608253,0.259231,-0.956765,-0.563763,-1.61524
-495.052,0.968509,0.171351,5,31,0,498.046,-0.80196,0.195055,1.24318,-1.43914,0.312297,3.95997,0.0415089,0.566227,-1.18721,-0.189626,-1.3367
-491.29,0.951039,0.171351,4,15,0,498.627,-0.686773,0.381896,1.44892,-1.46491,0.454446,3.23347,-0.0192114,0.209472,-1.09721,0.125384,-1.14217
-492.496,0.927446,0.171351,4,15,0,496.497,-0.73211,0.535704,0.965852,-1.54741,0.695897,2.84525,0.106219,-0.203781,-1.11499,0.181814,-0.466148
-492.388,0.975458,0.171351,4,15,0,499.828,-0.753883,0.690596,1.28273,-1.51778,0.543818,3.32779,-0.0437723,0.21183,-1.34522,-0.369731,-0.476437
-490.67,0.915226,0.171351,4,31,0,497.294,-1.07104,0.708491,1.64829,-1.48462,0.790812,3.88147,-0.137943,-0.525132,-1.09412,0.223924,-1.52482
-488.997,0.998743,0.171351,4,15,0,493.093,-0.910576,0.532391,1.82073,-1.57957,0.730373,3.37701,-0.183273,-0.040941,-1.39403,-0.646757,-0.760144
-487.445,0.828721,0.171351,4,15,0,492.385,-1.06614,0.606036,1.67254,-1.54191,1.05876,3.47814,-0.507953,-0.11868,-1.17316,-0.553953,-0.902216
-487.733,0.984116,0.171351,4,15,0,491.327,-1.10677,1.15308,1.70784,-1.40462,0.438159,3.02714,-0.779786,-0.379173,-1.16258,0.234793,-0.827966
-487.824,0.828603,0.171351,5,31,0,492.614,-1.17971,1.22343,1.86187,-1.69443,1.30872,3.93159,-0.653556,-0.697424,-1.74201,-0.296745,-0.806458
-485.953,0.890624,0.171351,5,31,0,492.668,-1.3796,0.56323,1.9708,-1.52535,1.35236,3.94463,-0.0779078,-0.354083,-1.01362,-0.641128,-1.97939
-487.464,0.850302,0.171351,4,15,0,492.464,-1.8258,0.865114,2.60834,-1.368,1.47531,4.33535,-0.616555,-0.0954717,-1.52299,-1.05071,-1.57195
-485.705,0.831053,0.171351,5,31,0,492.364,-1.52987,0.85533,2.19569,-1.45955,1.34166,3.36681,-0.524259,-0.321032,-0.657293,-0.904536,-1.35728
-489.038,0.872009,0.171351,4,31,0,492.437,-1.36958,0.474379,2.14749,-1.41705,1.37672,3.62745,-0.0969035,-0.170358,-0.170881,-0.952525,-2.1271
-485.035,0.896003,0.171351,4,15,0,492.96,-1.4451,0.788976,2.1263,-1.40872,1.23304,3.27235,-0.480274,-0.100587,-0.868123,-0.79961,-1.08949
-487.773,0.840553,0.171351,4,15,0,488.619,-1.41788,0.762149,2.25673,-1.54308,1.0357,3.61082,-0.628415,-0.147243,-0.628036,-0.608726,-2.19344
-488.304,0.999662,0.171351,4,31,0,491.97,-1.22483,0.893716,2.08246,-1.73412,0.72059,3.51861,-0.597595,-0.0910914,-0.756211,-0.330225,-1.96226
-490.537,0.718943,0.171351,4,15,0,495.561,-1.07303,0.952238,2.03527,-1.72017,0.773698,4.05118,-0.84979,0.201544,-1.45765,-0.184907,-1.21044
-490.693,0.969341,0.171351,5,31,0,493.449,-1.83312,1.16086,2.34559,-1.32234,1.50923,3.5601,-0.473296,-0.924372,-1.41439,-0.880595,-1.47772
-488.425,0.959711,0.171351,5,63,0,495.548,-1.21259,0.558224,2.20621,-1.61883,0.77169,3.16575,-0.519033,0.237953,-0.823502,-0.40483,-1.13561
-488.652,0.675423,0.171351,5,31,0,497.056,-1.45532,1.39103,1.75757,-1.48744,1.33155,3.75777,-0.521926,-0.893056,-1.68619,-0.642628,-1.39782
-491.554,0.88047,0.171351,4,15,0,498.253,-1.74029,1.13938,2.20806,-1.49683,2.04602,3.98631,-0.350484,-1.04127,-1.94372,-0.792538,-0.866232
-486.962,0.996547,0.171351,4,15,0,496.674,-1.52712,1.28511,1.93166,-1.75268,1.47958,4.19243,-0.408857,-0.641478,-1.87174,-0.666464,-1.52681
-487.618,0.973997,0.171351,5,31,0,489.701,-1.27129,0.716313,2.0382,-1.51157,1.30463,4.54912,-0.123361,-0.449991,-2.00178,-0.74989,-1.95174
-490.037,0.94276,0.171351,5,31,0,494.113,-1.19549,0.941801,1.68108,-1.43564,0.986777,2.35453,-0.548615,-0.0754184,-0.154434,-0.484037,-0.599336
-488.82,0.960894,0.171351,5,31,0,493.45,-1.53453,1.32055,1.90351,-1.64365,1.59148,4.56387,-0.467074,-0.630899,-2.12889,-0.947438,-1.42573
-489.938,0.957415,0.171351,5,31,0,494.882,-1.11275,0.699736,2.24593,-1.46869,0.563265,3.08826,-0.794327,0.00965272,-0.990075,-0.229185,-0.961661
